date_of_sale,address,postal_code,cities,price,description
2021-01-05,"1 RIVERVIEW, TURLOUGH VILLAGE, CASTLEBAR",Unknown,Mayo,125000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"10 LA MARE, ST AMULLEN, MEATH",Unknown,Meath,227000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"10 Maglin Green, Ballincollig, Co. Cork",Unknown,Cork,346255.51,New Dwelling house /Apartment
2021-01-05,"10 MOUNTTOWN VILLAS, MOUNTTOWN LOWER, GLENAGEARY",Unknown,Dublin,435000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"11 Carraig Beag, Ballynerrin",Unknown,Wicklow,361233.48,New Dwelling house /Apartment
2021-01-05,"12 MARINE WALK, MARINE ROAD, DN LAOGHAIRE",Unknown,Dublin,389427.0,New Dwelling house /Apartment
2021-01-05,"12 MCDONAGH AVE, JANESBORO, LIMERICK",Unknown,Limerick,120000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"12 SHENICK RD, SKERRIES, DUBLIN",Unknown,Dublin,415000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"129 Clonlara, Kerry Pike",Unknown,Cork,414096.0,New Dwelling house /Apartment
2021-01-05,"13 CASEMENT AVE, TRALEE, KERRY",Unknown,Kerry,93000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"13 NEWTOWN PARK, TRAMORE",Unknown,Waterford,610000.0,New Dwelling house /Apartment
2021-01-05,"14 Walker Green, Parkside, Balgriffin",Dublin 13,Dublin,343612.0,New Dwelling house /Apartment
2021-01-05,"15 CAISIL UR, RAHOON, KNOCKNACARRA",Unknown,Galway,320000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"15 DUN NA MARA, DOONBEG, CLARE",Unknown,Clare,120000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"16 CLEEVAUN, NAAS, KILDARE",Unknown,Kildare,350000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"16 COIS BAILE DROMIN RD, LISTOWEL, KERRY",Unknown,Kerry,179000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"16/17 HENRY STREET, OTHERWISE O' BRIEN STREET, TIPPERARY TOWN",Unknown,Tipperary,58000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"17 Walker Green, Parkside, Balgriffin",Dublin 13,Dublin,345814.0,New Dwelling house /Apartment
2021-01-05,"18 CELLA ROW, CHURCH HILL MEADOWS, RAHEEN",Unknown,Limerick,270000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"18 DRYNAM CRESCENT, DRYNAM HALL, KETTLE'S LANE",Unknown,Dublin,427500.0,Second-Hand Dwelling house /Apartment
2021-01-05,"185 CLONSILLA ROAD, BLANCHARDSTOWN, DUBLIN 15",Unknown,Dublin,350000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"2 CHAPEL ST, TULLAMORE, OFFALY",Unknown,Offaly,126000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"26 HILL ROAD, CLOGHAN, COUNTY OFFALY",Unknown,Offaly,130000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"26 NEW RD, BIRR, OFFALY",Unknown,Offaly,100000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"27 ROWAN HOUSE, MESPIL ESTATE, SUSSEX RD DUBLIN 4",Dublin 4,Dublin,229000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"29 CHERRYWOOD GROVE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,250000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"29 FOXES GROVE, SHANKILL, DUBLIN",Dublin 18,Dublin,520000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"3 HARELAWN PARK, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,230000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"3 Leana Theas, Cappagh Road, Galway",Unknown,Galway,356828.19,New Dwelling house /Apartment
2021-01-05,"3 SLIABH RUA, DRUMLISH, LONGFORD",Unknown,Longford,197000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"30 WOODVALE RD, BEAUMONT, CORK",Unknown,Cork,405000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"34 ORBY PARK, THE GALLOPS, LEOPARDSTOWN DUBLIN 18",Dublin 18,Dublin,850000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"36 EALLAGH, HEADFORD, CO GALWAY",Unknown,Galway,245000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"36 TheOaks, Ballinahinch Wood, Ashford",Unknown,Wicklow,312774.81,New Dwelling house /Apartment
2021-01-05,"37 Millquarter, Knockmullen, Gorey",Unknown,Wexford,268800.0,New Dwelling house /Apartment
2021-01-05,"4 CORBALLY AVE, WESTBROOK LAWNS, DUBLIN 24",Dublin 24,Dublin,38000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"41 HAYWORTH TERRACE, ONGAR, CLONSILLA",Dublin 15,Dublin,285000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"47 BLACKROCK AVE, EDEN, BLACKROCK",Unknown,Cork,360000.0,New Dwelling house /Apartment
2021-01-05,"49 COOLEVIN PARK, COOSAN, ATHLONE",Unknown,Westmeath,246000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"5 GLENCARRIG, GLENEALY, WICKLOW",Unknown,Wicklow,700000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"50 MCDERMOTT TERRACE, MANORHAMILTON, LEITRIM",Unknown,Leitrim,85000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"52 Graydon Crescent, Graydon, Newcastle",Unknown,Dublin,348017.61,New Dwelling house /Apartment
2021-01-05,"52 MOERAN RD, OFF CROMWELLSFORD RD, WALKINSTOWN",Dublin 12,Dublin,320000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"52 The Park, Janeville, Carrigaline",Unknown,Cork,273128.0,New Dwelling house /Apartment
2021-01-05,"55 HILLBROOK WOODS, BLANCHARDSTOWN, DUBLIN 15",Dublin 15,Dublin,208000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"55 MILLBOURNE DRIVE, SLANE ROAD, ASHBOURNE",Unknown,Meath,345000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"7 THE LASK, GOREY, WEXFORD",Unknown,Wexford,407000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"7 UPPER MAIN ST, CAPPOQUIN, MAIN ST",Unknown,Waterford,90000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"7THORNDALE CLOSE, KINGSCOURT, CAVAN",Unknown,Cavan,120000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"8 HAMPTON WOOD LAWN, HAMPTON WOOD, FINGLAS",Unknown,Dublin,240000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"8 UPPER CHURCH ST, TIPPERARY, TIPPERARY",Unknown,Tipperary,82000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"86 LOWER MAIN STREET, ARKLOW, CO WICKLOW",Unknown,Wicklow,175000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"APT 13 AMHRA HOUSE, BOTHAR NA MBAN, WOODQUAY",Unknown,Galway,160000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"APT 1, 4 DUBLIN ST, CARLOW",Unknown,Carlow,90000.0,Second-Hand Dwelling house /Apartment
2021-01-05,"APT 3A, WELLESLEY COURT, CLANCY STRAND",Unknown,Limerick,197500.0,Second-Hand Dwelling house /Apartment
